Original Order,Name,Title,Company,Youtube URL
61,JB Baker,Chief Marketing Officer,ScaleFlux,https://www.youtube.com/watch?v=tnqL1xnYkQY
62,Mandy Dhaliwal,Chief Marketing Officer,Nutanix,https://www.youtube.com/watch?v=kaHLEWumVeI
63,Julie Choi,Chief Marketing Officer,Cerebras,https://www.youtube.com/watch?v=mx3BnpjFAjQ
65,Janine Gianfredi,Chief Marketing Officer,Transcarent,https://www.youtube.com/watch?v=ETrXwx0hehs
66,Carolyn Crandall,Chief Marketing Officer,AirMDR,https://www.youtube.com/watch?v=6N47AJ4X_po
67,Martina Trucco,Chief Marketing Officer,At-Bay,https://www.youtube.com/watch?v=r8Rn_oNTUAs
68,Abhay Parasnis,Founder & CEO,Typeface,https://www.youtube.com/watch?v=U1jdmFW7-f4
72,Rajan Sheth,Chief Marketing Officer,Together AI,https://www.youtube.com/watch?v=hQD76r0dnBE
73,Mark Heaps,VP of Brand & Chief Tech Evangelist,Groq,https://www.youtube.com/watch?v=6JFo7kjKhxc
75,Brooke Cunningham,Chief Marketing Officer,LogicMonitor,https://www.youtube.com/watch?v=vIcAdFeRykI
76,Jen Jones,Chief Marketing Officer,commercetools,https://www.youtube.com/watch?v=Vv5sPtcP9Dw
77,Vidhya Srinivasan,Chief Marketing Officer,Prophix,https://www.youtube.com/watch?v=oRw33hnEh4I
78,Gabie Boko,Chief Marketing Officer,NetApp,https://www.youtube.com/watch?v=kIDWket1tpQ
79,Costa Kladianos,Head of Technology,San Francisco 49ers,https://www.youtube.com/watch?v=kIDWket1tpQ
80,Alison Biggan,Chief Marketing Officer,Boomi,https://www.youtube.com/watch?v=lMuKMGo_dDw
81,Jenn Chase,CMO & EVP,SAS Institute,https://www.youtube.com/watch?v=5VFpCQnAGg8
82,Peter Linder,Head of Thought Leadership – North America,Ericsson,https://www.youtube.com/watch?v=5VFpCQnAGg8
83,Jacqueline Woods,Chief Marketing Officer,Teradata,https://www.youtube.com/watch?v=GetD8AvBwoQ
84,Leon Mishkis,COO,NewtonX,https://www.youtube.com/watch?v=GetD8AvBwoQ
85,Paola Menegon,Head of Strategic Opportunities/Alliances,Aruba,https://www.youtube.com/watch?v=LIZMEVMLM0w
86,Andy Hurt,Chief Marketing Officer,Cobalt Iron,https://www.youtube.com/watch?v=5dZjNUGXWJ0
87,Jennifer Johnson (JJ),Chief Marketing Officer,CrowdStrike,https://www.youtube.com/watch?v=smKbeTv-zoQ
88,Jon Toor,Chief Marketing Officer,Cloudian,https://www.youtube.com/watch?v=V5WnpOpa3ms
89,Bobby Patrick,Chief Marketing Officer,UiPath,https://www.youtube.com/watch?v=dUPuYKVOeWM
90,Thomas Cornely,SVP Product Management,Nutanix,https://www.youtube.com/watch?v=v_Pez3nFY08
91,Tarkan Maner,Chief Commercial Officer,Nutanix,https://www.youtube.com/watch?v=goRuYv7mcC0
92,Justin Boitano,VP Enterprise AI,Nvidia,https://www.youtube.com/watch?v=goRuYv7mcC0
93,Denise Persson,Chief Marketing Officer,Snowflake,https://www.youtube.com/watch?v=T5tC_x6VkkM
94,Mike Gannon,Chief Revenue Officer,Snowflake,https://www.youtube.com/watch?v=T5tC_x6VkkM
95,Chris Powell,Chief Marketing Officer,Qlik,https://www.youtube.com/watch?v=tWk07LzBMOI
96,Margaret Dawson,Chief Marketing Officer,Chronosphere,https://www.youtube.com/watch?v=HM9rlmkH47w
97,Bill Hineline,Field Chief Technology Officer,Chronosphere,https://www.youtube.com/watch?v=HM9rlmkH47w
98,Jean English,Chief Marketing Officer,Juniper Networks,https://www.youtube.com/watch?v=1AedCr4dTdA
100,Brett Hannath,Corporate Vice President & CMO,Intel,https://www.youtube.com/watch?v=sAPATcXqel0
101,Jim Jackson,Chief Marketing Officer,HPE,https://www.youtube.com/watch?v=Yr9hzrbnw1s
102,Jason Netwon,VP Global Marketing,HPE,https://www.youtube.com/watch?v=Yr9hzrbnw1s
103,Jeff Veis,CMO,Impetus Technologies,https://www.youtube.com/watch?v=-ZEkQAUaCgE
105,Ravi Kandikonda,Senior VP of Marketing,Zillow,https://www.youtube.com/watch?v=NHH2dtMVYjE
106,Denise Persson,CMO,Snowflake,https://www.youtube.com/watch?v=NHH2dtMVYjE
107,Jim Kruger,Chief Marketing Officer,Informatica,https://www.youtube.com/watch?v=cU2OgJtMGrs
108,Eric Herzog,CMO,Infinidat,https://www.youtube.com/watch?v=XQmWsP4pF5w
109,Gabie Boko,Chief Marketing Officer,NetApp,https://www.youtube.com/watch?v=T-8BHhOFW5M
110,Abby Strong,CMO,Cribl,https://www.youtube.com/watch?v=1ei82jxf1kw
111,Alison Biggan,CMO,Boomi,https://www.youtube.com/watch?v=78lxbm6VhYQ
112,Peder Ulander,CMO,MongoDB,https://www.youtube.com/watch?v=g8tEN9zNw-A
113,Mona Chadha,Director of Category Management,AWS,https://www.youtube.com/watch?v=g8tEN9zNw-A
115,Jen Jones,CMO,commercetools,https://www.youtube.com/watch?v=uJHQg-2-S_s
116,Jenn Chase,Chief Marketing Officer,SAS Institute,https://www.youtube.com/watch?v=CWvfoqhE_AE
117,Eric Hanson,CMO,Mitel,https://www.youtube.com/watch?v=gyqBD2Sa_H4
118,Luiz Domingos,CTO,Mitel,https://www.youtube.com/watch?v=gyqBD2Sa_H4
119,Chandra Rangan,CMO,Neo4j,https://www.youtube.com/watch?v=fb-C_ZOANCs
120,Kevin Cochrane,CMO,Vultr,https://www.youtube.com/watch?v=w8vh-uiqqhU
121,Jacqueline Woods,Chief Marketing Officer,Teradata,https://www.youtube.com/watch?v=xpQPPGeMJLM
122,Jennifer Johnson,Chief Marketing Officer,CrowdStrike,https://www.youtube.com/watch?v=SEiZ4c_3Wwc
123,Ian Massingham,CMO,Aiven,https://www.youtube.com/watch?v=qXNwmrolfeA
124,"Duleepa ""Dups"" Wijayawardhana",CTO,Supermetrics,https://www.youtube.com/watch?v=qXNwmrolfeA
125,David Nicholson,Field CTO,Infinidat,https://www.youtube.com/watch?v=TZ4IVk8v-oU
128,Laura Heisman,Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=O6EDUm5h1XQ
129,Geoff Stedman,Chief Marketing Officer,SDVI Corporation,https://www.youtube.com/watch?v=Ml2KS1JtbuY
130,Meagen Eisenberg,CMO,Lacework,https://www.youtube.com/watch?v=7W8HKsRQ5zo
131,Rachel Thorton,Chief Marketing Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M
132,Andrea Euenheim,Chief People Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M
133,Asha Thurthi,Chief Product Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M
134,Zeynep Ozdemir,CMO,Palo Alto Networks,https://www.youtube.com/watch?v=RC-yBQH7tOA
135,Thomas Been,Chief Marketing Officer,DataStax,https://www.youtube.com/watch?v=nqG0Xfs8uA8
136,John Kreisa,CMO,Couchbase,https://www.youtube.com/watch?v=yJpCravqCJk
137,Tommy McClung,Co-Founder & CEO,Releasehub,https://www.youtube.com/watch?v=CQEM0li5rmQ
138,Matt Carter,CMO,Releasehub,https://www.youtube.com/watch?v=CQEM0li5rmQ
139,Ashley Kramer,Chief Marketing Officer & Chief Product Officer,Sisense,https://www.youtube.com/watch?v=I0ooZnypHVQ
140,Ed Macosky,Head of Product,Boomi,https://www.youtube.com/watch?v=3-J9Jo7uZbI
141,Mandy Dhaliwal,CMO,Boomi,https://www.youtube.com/watch?v=3-J9Jo7uZbI
142,Brian Mullen,Chief Marketing Officer,InfluxData,https://www.youtube.com/watch?v=3EtoGjpoFjc
143,Arwa Kaddoura,Chief Revenue Officer,InfluxData,https://www.youtube.com/watch?v=3EtoGjpoFjc
144,Chris Port,COO,Boomi,https://www.youtube.com/watch?v=Nilshpvyvy4
145,Isabelle Guis,CMO,Commvault,https://www.youtube.com/watch?v=KYC_JGx5wkM
148,Carol Carpenter,Senior Vice President and Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=5KcRXgaimYU
149,Bill Largent,CEO,Veeam,https://www.youtube.com/watch?v=OdrhPIBgZoE
150,Jim Kruger,CMO,Veeam,https://www.youtube.com/watch?v=OdrhPIBgZoE
151,Ajay Khanna,Chief Marketing Officer,Explorium,https://www.youtube.com/watch?v=PSzKHPpc16w
154,Maria Winans,CMO,Kyndryl,https://www.youtube.com/watch?v=1UbxgYV4uB0
155,John Maddison,CMO and EVP of Product,Fortinet,https://www.youtube.com/watch?v=b9nGNKqU2TM
156,Beth Davidson,CMO,Agero,https://www.youtube.com/watch?v=Qtb-UFbSbms
157,Raj Behara,VP and CTO,Agero,https://www.youtube.com/watch?v=Qtb-UFbSbms
158,Norman Guadagno,Chief Marketing Officer,Acoustic,https://www.youtube.com/watch?v=_1qsRRiJYjA
159,Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM,https://www.youtube.com/watch?v=IVAgRxRyCW8
160,Carol Carpenter,Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=XRqdmnTV5o8
161,Brian Reagan,CMO,Actifio,https://www.youtube.com/watch?v=SrEsTKDmgp0
162,John Maddison,CMO and EVP Products,Fortinet,https://www.youtube.com/watch?v=NeRWcb22zzE
163,Marissa Freeman,Chief Brand Officer,HPE,https://www.youtube.com/watch?v=AlZt-HBtSeg
164,Jim Jackson,CMO,HPE,https://www.youtube.com/watch?v=AlZt-HBtSeg
165,Danny Allan,CTO,Veeam,https://www.youtube.com/watch?v=oqtF2KgkUMw
166,Michelle Peluso,SVP Digital Sales & Chief Marketing Officer,IBM,https://www.youtube.com/watch?v=PtpNCBu-hN4
167,Peter Guagenti,Chief Marketing Officer,Cockroach Labs,https://www.youtube.com/watch?v=M_SkO9mYV2U
168,Bobby Patrick,CMO,UiPath,https://www.youtube.com/watch?v=9zS7q_z5K-Q
169,Brandon Nott,Senior Vice President of Product,UiPath,https://www.youtube.com/watch?v=SJFpjG_J6W0
170,Paul Forte,Chief Revenue Officer,Actifio,https://www.youtube.com/watch?v=4j2KKxBBLv4
171,Mani Dasgupta,VP Marketing,IBM,https://www.youtube.com/watch?v=tQ9X6XYMOHU
172,Vittorio Viarengo,Interim CMO,McAfee,https://www.youtube.com/watch?v=thqcKGlovLM
173,Riadh Dridi,CMO,Automation Anywhere,https://www.youtube.com/watch?v=mwsWP9lxKrE
174,Karin Toubba,CEO,Kenna Security,https://www.youtube.com/watch?v=8NBAkJMA0sM
175,Caroline Japic,CMO,Kenna Security,https://www.youtube.com/watch?v=8NBAkJMA0sM
176,Eric Herzog,CMO & VP Global Channels,IBM Storage,https://www.youtube.com/watch?v=o-nsUQOrHTY
177,Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM,https://www.youtube.com/watch?v=FRNxTBFsyfQ
178,Eric Herzog,CMO & VP of Global Storage Channels,IBM,https://www.youtube.com/watch?v=KZVJScVb3C4
179,Eric Herzog,CMO & VP Global Channels,IBM Storage,https://www.youtube.com/watch?v=FF2hNFY5PWA
180,Rick Vanover,Senior Director Product Strategy,Veeam,https://www.youtube.com/watch?v=ybSXkqKA0RQ
181,Jim Kruger,Chief Marketing Officer,Veeam,https://www.youtube.com/watch?v=ybSXkqKA0RQ
182,Lynn Lucas,CMO,Cohesity,https://www.youtube.com/watch?v=jjK51ry0CZY
183,Chandar Pattabhiram,CMO,Coupa,https://www.youtube.com/watch?v=yM2cpUc1vgY
184,Annie Weckesser,CMO,Uniphore,https://www.youtube.com/watch?v=RiobNN-i2dU
185,Rip Gerber,Chief Marketing and Innovation Officer,Vlocity,https://www.youtube.com/watch?v=orXRpTBggLQ
186,Carrie Palin,CMO,Splunk,https://www.youtube.com/watch?v=byYQYnypDsc
187,Scott Hebner,Vice President & CMO,IBM Data & AI,https://www.youtube.com/watch?v=AQw62zAq7Lw
188,Bobby Patrick,CMO,UiPath,https://www.youtube.com/watch?v=JHrhg9XcuRI
189,Chris Powell,CMO,Commvault,https://www.youtube.com/watch?v=h1GPsSVcCMs
190,Gaidar Magdanurov,CMO & Chief Cyber Strategy Officer,Acronis,https://www.youtube.com/watch?v=8dzxiJ8sSKM
191,Mandy Dhaliwal,CMO,Boomi,https://www.youtube.com/watch?v=Q0_2N5hcBKo
192,Samantha Choi Cadley,CEO,Manual Labor Studio,https://www.youtube.com/watch?v=Q0_2N5hcBKo
193,Anna Griffin,CMO,Smartsheet,https://www.youtube.com/watch?v=LaZU2X5R6_E
194,Will Corkery,SVP of Sales,Boomi,https://www.youtube.com/watch?v=dlbaoqFgZOo
195,Calline Sanchez,Vice President,IBM Worldwide Systems Lab Services,https://www.youtube.com/watch?v=DEHUqmEwFeg
196,Graham Breeze,Field CTO,Tintri by DDN,https://www.youtube.com/watch?v=jejNkMxPYJ0
197,Mario Blandini,CMO & Chief Evangelist,Tintri by DDN,https://www.youtube.com/watch?v=jejNkMxPYJ0
198,Todd Forsythe,CMO,Veritas,https://www.youtube.com/watch?v=cs-eHzSaCYU
200,Doc D’Errico,CMO,Infinidat,https://www.youtube.com/watch?v=dx4hSN5yyJw
201,Robin Matlock,CMO,VMware,https://www.youtube.com/watch?v=ARukuXEJk5c
203,Gary Conway,CMO,Automation Anywhere,https://www.youtube.com/watch?v=L2Gw7W-Tov8
204,Gregory Ness,CMO,Tempered Networks,https://www.youtube.com/watch?v=0Joxcd6lhic
205,Ryan Kam,CMO,Five9,https://www.youtube.com/watch?v=Z8UOD28pZM4
206,Marie Hattar,CMO,Keysight,https://www.youtube.com/watch?v=h3y6qxOC7sE
207,Meagen Eisenberg,CMO,TripActions,https://www.youtube.com/watch?v=xjz-NWnIeJc
208,Murali Nemani,CMO,ScienceLogic,https://www.youtube.com/watch?v=R45wobxqmGs
209,Sally Jenkins,EVP & CMO,Informatica,https://www.youtube.com/watch?v=9jwu0Q878G0
210,Tim Minihan,CMO & EVP Strategy,Citrix,https://www.youtube.com/watch?v=0HZkD_sWNP4
211,Alicia Tillman,CMO,SAP,https://www.youtube.com/watch?v=B3ZB0ymbXMk
212,Ben Gibson,Chief Marketing Officer,Nutanix,https://www.youtube.com/watch?v=fNZgmWb6008
213,Allison Dew,CMO,Dell Technologies,https://www.youtube.com/watch?v=bAEmtntOaRs
214,Sara Varni,CMO,Twilio,https://www.youtube.com/watch?v=ddP43vhGcxA
215,Micheline Nijmeh,CMO,Zscaler,https://www.youtube.com/watch?v=9-15w8tfCqk
216,Alison Wagonfeld,CMO,Google Cloud,https://www.youtube.com/watch?v=oNQm0gD5D7o
217,Partha Seetala,Co-founder and CTO,Robin.io,https://www.youtube.com/watch?v=s7VaHEspI7E
218,Radhesh Menon,CMO,Robin.io,https://www.youtube.com/watch?v=s7VaHEspI7E
219,Joyce Kim,CMO,Arm,https://www.youtube.com/watch?v=RDozwF6Ddn8
220,Tim Minahan,EVP of Business Strategy and CMO,Citrix,https://www.youtube.com/watch?v=GgG3bzKPYNw
221,Joel Horwitz,CMO,WANdisco,https://www.youtube.com/watch?v=fq5Y4zkaXHU
222,Steve Pappas,SVP and CMO,Panviva,https://www.youtube.com/watch?v=2JOc1cSQXrQ
223,Dayna Rothman,VP of Marketing,Mesosphere,https://www.youtube.com/watch?v=vkbsWzV16kE
225,Tom Murphy,Chief Marketing Officer,Turbonomic,https://www.youtube.com/watch?v=DCE9aR2kga0
226,Simon Townsend,Chief Marketing Officer EMEA,IGEL,https://www.youtube.com/watch?v=zhIAUxybAcE
227,Jean English,Senior Vice President and Chief Marketing Officer,NetApp,https://www.youtube.com/watch?v=ualozF4rCog
228,Brian Goldfarb,CMO,Splunk,https://www.youtube.com/watch?v=xVrJe4ncRQw
229,Karen Leavitt,Chief Marketing Officer,Locus Robotics,https://www.youtube.com/watch?v=wra9Gi5iXd0
230,Meagen Eisenberg,CMO,MongoDB,https://www.youtube.com/watch?v=kiz_gFEP_7k
231,Gil Levonai,Chief Marketing Officer,Zerto,https://www.youtube.com/watch?v=73jd9HMQUwg
232,Boris Renski,Co Founder and CMO,Mirantis,https://www.youtube.com/watch?v=EcxoQizrOPw
233,Kate Hutchison,Chief Marketing Officer,Veeam,https://www.youtube.com/watch?v=XBU2erWRwls
243,Nancy Pearson,CMO,IBM Cloud,https://www.youtube.com/watch?v=ndDYjJCfUBc
244,John Bara,CMO & President,Mintigo,https://www.youtube.com/watch?v=bTSFqIFJqrs
245,Jack Norris,CMO,MapR,https://www.youtube.com/watch?v=RMGidzipxf8
246,Lynn Vojvodich,CMO,Salesforce,https://www.youtube.com/watch?v=uOscALSrGm0
250,Eric Herzog,CMO & SVP of Alliances,Violin Memory,https://www.youtube.com/watch?v=CMzv71swatY
252,David Gibson,CMO,Varonis,https://www.youtube.com/watch?v=DZ9aWxLSm5w
262,Bruno Aziza,CMO,Alpine Data Labs,https://www.youtube.com/watch?v=QGK1smZGEkQ
263,Steve Sommer,CMO,Splunk,https://www.youtube.com/watch?v=cYCbdwppsng
264,Elissa Fink,CMO,Tableau,https://www.youtube.com/watch?v=qLxbhk3U_7w
265,Rick Jackson,CMO,Rackspace,https://www.youtube.com/watch?v=dQ25Nj6w8Bw
266,Beth Comstock,CMO,GE,https://www.youtube.com/watch?v=JCSQeVImbKQ
269,Beth White,CMO,ServiceNow,https://www.youtube.com/watch?v=359buNsYgO4
272,Sanjay Sarathy,CMO,Sumo Logic,https://www.youtube.com/watch?v=xLzC7euPAyw
273,Jack Norris,CMO,MapR,https://www.youtube.com/watch?v=-60I4vLXKxg
275,Steve Sommer,CMO,Splunk,https://www.youtube.com/watch?v=fHU7sL6Ixxw
276,Rick Jackson,CMO,VMware,https://www.youtube.com/watch?v=T8fSG4oK48U
277,Jeremy Burton,CMO,EMC,https://www.youtube.com/watch?v=P77PqfzhiLM
278,Jeremy Burton,CMO,EMC,https://www.youtube.com/watch?v=yUYJYi33tUA
279,David Parsons,VP - Global Alliances & CMO,CSC,https://www.youtube.com/watch?v=Ct9AcyRMrOo
280,Jeremy Burton,CMO,EMC,https://www.youtube.com/watch?v=ksIoJAKiYGA
281,David Parsons,VP of Global Alliances & CMO,CSC,https://www.youtube.com/watch?v=TGhEPxJhFUU
282,Anubhav Saxena,CMO,HCL,https://www.youtube.com/watch?v=FNNStsNemyg
283,—,Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=v8VDv43SzAk
284,Lauren Flaherty,EVP & CMO,Juniper Networks,https://www.youtube.com/watch?v=MzTdmXmGYVs
286,David Parsons,Corporate VP of Global Alliances & CMO,CSC,https://www.youtube.com/watch?v=epdon21Mv6c
287,Siki Giunta,VP of Cloud Division,CSC,https://www.youtube.com/watch?v=epdon21Mv6c
288,Rick Jackson,CMO,VMware,https://www.youtube.com/watch?v=OfK9dbZm6Uc
289,Dan Roger,Chief Marketing Officer,ServiceNow,https://www.youtube.com/watch?v=owPlKiH_qgk
292,Ben Gibson,CMO,Nutanix,https://www.youtube.com/watch?v=VGbo_2I08Ko
294,Mark Boulton,CMO,IFS,https://www.youtube.com/watch?v=nKOhl6Ejejk
295,Antony Bourne,VP Global Industry Solutions,IFS,https://www.youtube.com/watch?v=nKOhl6Ejejk
296,Stefan Willkommer,CEO,TechDivision,https://www.youtube.com/watch?v=FerBo8ZdOsU
297,Dr. Markus Reheis,CMO,Gabor Shoes,https://www.youtube.com/watch?v=FerBo8ZdOsU
298,Ben Gibson,CMO,Nutanix,https://www.youtube.com/watch?v=BDv1Kgb2a4Y
299,Eric Herzog,CMO & VP of Global Channels,IBM Storage Systems,https://www.youtube.com/watch?v=VxHEPhLX-kE
300,Brian Reagan,Chief Marketing Officer,Actifio,https://www.youtube.com/watch?v=qM4-UKzu05A
301,Mike Errity,VP North America,IBM Resiliency Services,https://www.youtube.com/watch?v=qM4-UKzu05A
302,Lynn Lucas,CMO,Cohesity,https://www.youtube.com/watch?v=LOmyi_TsBPc
305,Eric Herzog,CMO & VP of Worldwide Storage Channels,IBM Storage Channels,https://www.youtube.com/watch?v=TrlGa3YEqDk
306,Eric Herzog,CMO & VP of Worldwide Storage Channels,IBM Storage Channels,https://www.youtube.com/watch?v=pW08KMhKfkw
307,Dan Rogers,CMO,ServiceNow,https://www.youtube.com/watch?v=L0y_LZ3TaAU
308,Eric Herzog,Chief Marketing Officer,IBM Storage Systems,https://www.youtube.com/watch?v=29hbo43dIE0
309,Robson Grieve,Chief Marketing Officer,New Relic Inc.,https://www.youtube.com/watch?v=A7s5rT6tQmY
310,Bobby Patrick,CMO,UiPath,https://www.youtube.com/watch?v=kxo-f-z9lzk
311,Nancy Pearson,CMO,OpenLink,https://www.youtube.com/watch?v=BC5m_miiVt8
312,Lawrence Schwartz,CMO,SoftwareONE,https://www.youtube.com/watch?v=akdbPtQiZrg
313,Simon West,CMO,Cyxtera,https://www.youtube.com/watch?v=gJmCYOQuroQ
314,Matt Morgan,CMO,Druva,https://www.youtube.com/watch?v=Wtc_A6NamgY
319,Brian Goldfarb,CMO,Splunk,https://www.youtube.com/watch?v=TxQApC4GFmA
326,Josh Epstein,CMO,Kaminario,https://www.youtube.com/watch?v=tWNIGOII4AM
327,Eyal David,CTO,Kaminario,https://www.youtube.com/watch?v=tWNIGOII4AM
330,Matthew Morgan,CMO,Druva,https://www.youtube.com/watch?v=cf1vPcFW5to
331,Jaspreet Singh,CEO,Druva,https://www.youtube.com/watch?v=cf1vPcFW5to
334,David Gee,CMO,Zuora,https://www.youtube.com/watch?v=tx1L51WXrc0
336,Itamar Ankorion,CMO,Attunity,https://www.youtube.com/watch?v=eUccjH2UYCU
337,Arvind Rajagopalan,Director - Global Technology Services,Verizon,https://www.youtube.com/watch?v=eUccjH2UYCU
338,David Hseih,CMO,Qubole,https://www.youtube.com/watch?v=R666aLzZWT4
339,Matt Howard,Executive VP & CMO,Sonatype,https://www.youtube.com/watch?v=R01xef1dYAg
340,Sally Jenkins,EVP & Chief Marketing Officer,Informatica,https://www.youtube.com/watch?v=RQgKzvyQGtQ
