Original Order,Name,Title,Company,Youtube URL,Company Website,Source,Domain Notes,Confidence,LinkedIn Search URL,Employment Verified,Verification Source,Verified At
57,Sanjay Kumar,VP of Products & Marketing,Arrcus,https://www.youtube.com/watch?v=8ZhmX5YFDOg,https://arrcus.com/,https://arrcus.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Sanjay%20Kumar%20Arrcus,no,,
58,Rachel Thornton,Chief Marketing Officer,Adobe Enterprise,https://www.youtube.com/watch?v=W2hOMY8gmaE,https://www.adobe.com/,https://www.adobe.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Rachel%20Thornton%20Adobe%20Enterprise,no,,
59,Isabelle Dumont,Chief Marketing Officer,DeNexus,https://www.youtube.com/watch?v=TCtoBjLG_hI,https://www.denexus.io/,https://www.denexus.io/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Isabelle%20Dumont%20DeNexus,no,,
60,Surbhi Agarwal,Chief Marketing Officer,Applied Intuition,https://www.youtube.com/watch?v=9IW10uhF0r4,https://www.appliedintuition.com/,https://www.appliedintuition.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Surbhi%20Agarwal%20Applied%20Intuition,no,,
61,JB Baker,Chief Marketing Officer,ScaleFlux,https://www.youtube.com/watch?v=tnqL1xnYkQY,,Company website not found - manual research required,not_found,low,https://www.linkedin.com/search/results/all/?keywords=JB%20Baker%20ScaleFlux,no,,
62,Mandy Dhaliwal,Chief Marketing Officer,Nutanix,https://www.youtube.com/watch?v=kaHLEWumVeI,https://www.nutanix.com/,https://www.nutanix.com/,verified_from_mapping,high,https://www.linkedin.com/search/results/all/?keywords=Mandy%20Dhaliwal%20Nutanix,no,,
63,Julie Choi,Chief Marketing Officer,Cerebras,https://www.youtube.com/watch?v=mx3BnpjFAjQ,https://www.cerebras.ai/,https://www.cerebras.ai/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Julie%20Choi%20Cerebras,no,,
65,Janine Gianfredi,Chief Marketing Officer,Transcarent,https://www.youtube.com/watch?v=ETrXwx0hehs,https://transcarent.com/,https://transcarent.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Janine%20Gianfredi%20Transcarent,no,,
66,Carolyn Crandall,Chief Marketing Officer,AirMDR,https://www.youtube.com/watch?v=6N47AJ4X_po,https://airmdr.com/,https://airmdr.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Carolyn%20Crandall%20AirMDR,no,,
67,Martina Trucco,Chief Marketing Officer,Bay,https://www.youtube.com/watch?v=r8Rn_oNTUAs,,Company website not found - manual research required,not_found,low,https://www.linkedin.com/search/results/all/?keywords=Martina%20Trucco%20Bay,no,,
68,Abhay Parasnis,Founder & CEO,Typeface,https://www.youtube.com/watch?v=U1jdmFW7-f4,https://www.typeface.ai:443/,https://www.typeface.ai:443/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Abhay%20Parasnis%20Typeface,no,,
72,Rajan Sheth,Chief Marketing Officer,Together AI,https://www.youtube.com/watch?v=hQD76r0dnBE,https://www.together.ai/,https://www.together.ai/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Rajan%20Sheth%20Together%20AI,no,,
73,Mark Heaps,VP of Brand & Chief Tech Evangelist,Groq,https://www.youtube.com/watch?v=6JFo7kjKhxc,https://groq.com/,https://groq.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Mark%20Heaps%20Groq,no,,
75,Brooke Cunningham,Chief Marketing Officer,LogicMonitor,https://www.youtube.com/watch?v=vIcAdFeRykI,https://www.logicmonitor.com/,https://www.logicmonitor.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Brooke%20Cunningham%20LogicMonitor,no,,
76,Jen Jones,Chief Marketing Officer,commercetools,https://www.youtube.com/watch?v=Vv5sPtcP9Dw,https://commercetools.com/,https://commercetools.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Jen%20Jones%20commercetools,no,,
77,Vidhya Srinivasan,Chief Marketing Officer,Prophix,https://www.youtube.com/watch?v=oRw33hnEh4I,https://www.prophix.com/,https://www.prophix.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Vidhya%20Srinivasan%20Prophix,no,,
78,Gabie Boko,Chief Marketing Officer,NetApp,https://www.youtube.com/watch?v=kIDWket1tpQ,https://www.netapp.com/,https://www.netapp.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Gabie%20Boko%20NetApp,no,,
79,Costa Kladianos,Head of Technology,San Francisco 49ers,https://www.youtube.com/watch?v=kIDWket1tpQ,https://www.49ers.com/,https://www.49ers.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Costa%20Kladianos%20San%20Francisco%2049ers,no,,
80,Alison Biggan,Chief Marketing Officer,Boomi,https://www.youtube.com/watch?v=lMuKMGo_dDw,https://boomi.com/,https://boomi.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Alison%20Biggan%20Boomi,no,,
81,Jenn Chase,CMO & EVP,SAS Institute,https://www.youtube.com/watch?v=5VFpCQnAGg8,https://www.sas.com/en_us/home.geo.html,https://www.sas.com/en_us/home.geo.html,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Jenn%20Chase%20SAS%20Institute,no,,
82,Peter Linder,Head of Thought Leadership – North America,Ericsson,https://www.youtube.com/watch?v=5VFpCQnAGg8,,Company website not found - manual research required,not_found,low,https://www.linkedin.com/search/results/all/?keywords=Peter%20Linder%20Ericsson,no,,
83,Jacqueline Woods,Chief Marketing Officer,Teradata,https://www.youtube.com/watch?v=GetD8AvBwoQ,https://www.teradata.com/,https://www.teradata.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Jacqueline%20Woods%20Teradata,no,,
84,Leon Mishkis,COO,NewtonX,https://www.youtube.com/watch?v=GetD8AvBwoQ,https://www.newtonx.com/,https://www.newtonx.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Leon%20Mishkis%20NewtonX,no,,
85,Paola Menegon,Head of Strategic Opportunities/Alliances,Aruba,https://www.youtube.com/watch?v=LIZMEVMLM0w,https://www.aruba.com/,https://www.aruba.com/,verified_from_slug,medium,https://www.linkedin.com/search/results/all/?keywords=Paola%20Menegon%20Aruba,no,,
